team_key,match_count,opr,ridge_offense,ridge_defense,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_defensive_specialist_best,suppression_rating_abs,suppression_rating_pct,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,suppression_rating_pct_shrunk,suppression_samples
frc9439,12,15.170934964404442,-4.656780956528242,-7.632420578040609,0.5840745268728785,11.0,23.0,-7.553968017014513,-0.05356205966949048,-90.46949636086865,-1.0300355096124243,-0.5,11.0,16.0,23.0,-0.02186661929379291,5
frc1640,36,69.90823030773902,44.21571414014391,-15.232925259776176,0.49413039675107573,31.0,24.0,-16.796556351665004,-0.05552307044931779,-59.90432533187144,-0.4832613281150488,-0.5,41.0,20.0,23.0,-0.04645393359537957,21
frc9094,36,122.47164093095657,85.74166951316795,-18.09630633291168,0.4210908255696583,47.0,25.0,-19.850505117743126,-0.055031143275863524,-74.589272294194,-0.6106230141980964,-0.5,51.0,19.0,23.0,-0.041425939705385294,17
frc1391,36,127.57162426981814,86.99168350932209,-10.690968129460197,0.4123533256402884,19.0,26.0,-9.538777844559053,-0.08861839724058601,-57.58554780157657,-0.5453542960345152,-0.5,16.0,49.0,23.0,-0.0775938287018319,23
frc1089,36,66.57735650237522,45.093497686163325,-15.48098401192916,0.36581867295101805,34.0,27.0,-11.653700132026644,-0.06031593361997549,-59.19044859902418,-0.521195313471347,-0.5,19.0,23.0,23.0,-0.06031593361997549,30
frc9027,36,27.10919354998621,9.067221397645579,-12.57566394211789,0.3620059044172609,24.0,28.0,-13.307820955754782,-0.08705646698474769,-51.49730898434857,-0.4606568779317421,-0.5,26.0,46.0,23.0,-0.07455070439306441,22
frc428,24,41.86263748915211,15.949618359042773,-13.963021443218592,0.3593229744801261,29.0,29.0,-19.935350933755096,-0.08317816860660604,-78.47395045441243,-0.8135586773874576,-0.5,53.0,41.0,23.0,-0.05881584706840914,15
frc430,24,22.550875922356944,-0.8269707352112268,-16.47406736534432,0.33761548004605424,39.0,30.0,-19.062639058540043,-0.07321476665215312,-85.13593062215566,-0.6827543673964775,-0.5,49.0,30.0,23.0,-0.05001520728172224,14
frc4638,12,45.19100993792194,9.003059275247235,-15.907905783647905,0.3350021314525126,37.0,31.0,-11.63271565175455,-0.08121968005712206,-97.67528064872228,-1.0768822211108753,-0.5,18.0,39.0,23.0,-0.03315779553534199,5
frc25,36,43.90301181900407,25.326120384646305,-19.097436480891194,0.33426550324508164,55.0,32.0,-22.469624945887386,-0.05350818812269027,-75.69772273948858,-0.6624168550522813,-0.5,65.0,15.0,23.0,-0.04685150389332374,23
frc9015,36,28.671641829839984,10.62077826887641,-19.941553290524713,0.321926151657599,63.0,33.0,-15.87735278605644,-0.050584828763068294,-66.01796325359392,-0.6078711803819062,-0.5,37.0,13.0,23.0,-0.0442918249502643,23
frc5401,36,53.77852202209927,39.08789141933288,-18.20049256806389,0.3043770538696671,48.0,34.0,-14.798893671463308,-0.058661991919806686,-59.41652258936497,-0.47920889579352144,-0.5,31.0,22.0,23.0,-0.054611342440920974,26
frc56,36,47.7632578143808,21.987963914308757,-17.459756467902313,0.29928734241452243,46.0,35.0,-17.17158206891077,-0.07018769375268524,-70.21160315618674,-0.6283257272225523,-0.5,43.0,28.0,23.0,-0.058723237717487206,21
frc1403,36,109.22222709081234,72.12303686468948,-16.487631915679078,0.28939403863197116,40.0,36.0,-13.910910637989272,-0.08104353576468017,-57.31839257483811,-0.5411068039225502,-0.5,28.0,38.0,23.0,-0.06449626322394678,19
frc190,12,241.5436897042954,120.31386419688333,-14.72618354579076,0.28641784228650996,30.0,37.0,-15.023060470478992,-0.10873793746570738,-83.65690298097657,-0.9398765845733837,-0.5,33.0,75.0,23.0,-0.04862908398128858,6
