team_key,match_count,opr,ridge_offense,ridge_defense,suppression_rating_abs,suppression_rating_pct,suppression_samples,expected_score_against_total,actual_score_against_total,avg_expected_score_against,avg_actual_score_against,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,avg_opponent_offense_seen,sample_reliability,suppression_reliability,suppression_rating_pct_shrunk,defensive_specialist_index,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,rank_defensive_specialist_best
frc10584,36,32.7047932949866,10.803395676920067,-12.691441630826636,-14.3340460143855,-0.04930721553322451,25,2402.737887781617,3916.189150001572,96.10951551126468,156.64756600006288,-60.53805048879823,-0.6298861269538162,-0.5,75.93789846273044,0.8660254037844386,0.9128709291752769,-0.0450111236588603,0.7036099393710705,0.6093440818505758,26.0,29.0,12.0,23.0,21.0
frc4285,36,60.1037571178323,36.30074758459168,-8.367925631124093,-11.782827970130286,-0.08436822495046699,23,2755.2052508313154,4075.1270962260764,119.7915326448398,177.17943896635114,-57.387906321511316,-0.47906479743986635,-0.48703517143204544,88.04957364625494,0.8660254037844386,0.8755950357709131,-0.07387239894343259,0.6931186863575239,0.6002583902233143,14.0,20.0,43.0,16.0,22.0
frc9439,12,15.170934964404442,-4.656780956528242,-7.632420578040609,-7.553968017014513,-0.05356205966949048,5,439.15717233335954,891.5046541377028,87.83143446667191,178.30093082754055,-90.46949636086865,-1.0300355096124243,-0.5,53.48512164354591,0.5,0.408248290463863,-0.02186661929379291,1.168149053745757,0.5840745268728785,11.0,11.0,16.0,23.0,23.0
frc1640,36,69.90823030773902,44.21571414014391,-15.232925259776176,-16.796556351665004,-0.05552307044931779,21,2603.127456682844,3861.1182886521437,123.95845031823066,183.8627756501021,-59.90432533187144,-0.4832613281150488,-0.5,83.59838567043766,0.8660254037844386,0.8366600265340756,-0.04645393359537957,0.5705726351580204,0.49413039675107573,31.0,41.0,20.0,23.0,24.0
frc9094,36,122.47164093095657,85.74166951316795,-18.09630633291168,-19.850505117743126,-0.055031143275863524,17,2076.5965243981645,3344.614153399463,122.1527367293038,196.74200902349781,-74.589272294194,-0.6106230141980964,-0.5,72.4939229082539,0.8660254037844386,0.752772652709081,-0.041425939705385294,0.486233802991848,0.4210908255696583,47.0,51.0,19.0,23.0,25.0
frc1391,36,127.57162426981814,86.99168350932209,-10.690968129460197,-9.538777844559053,-0.08861839724058601,23,2428.636959618699,3753.10455905496,105.59291128776952,163.1784590893461,-57.58554780157657,-0.5453542960345152,-0.5,77.95529233232918,0.8660254037844386,0.8755950357709131,-0.0775938287018319,0.4761446071193159,0.4123533256402884,19.0,16.0,49.0,23.0,26.0
frc1089,36,66.57735650237522,45.093497686163325,-15.48098401192916,-11.653700132026644,-0.06031593361997549,30,3407.001966583006,5182.715424553731,113.56673221943353,172.7571808184577,-59.19044859902418,-0.521195313471347,-0.5,100.3596991025534,0.8660254037844386,1.0,-0.06031593361997549,0.4224110186057239,0.36581867295101805,34.0,19.0,23.0,23.0,27.0
frc9027,36,27.10919354998621,9.067221397645579,-12.57566394211789,-13.307820955754782,-0.08705646698474769,22,2459.4027614270035,3592.343559082672,111.79103461031833,163.2883435946669,-51.49730898434857,-0.4606568779317421,-0.5,81.91219873376242,0.8660254037844386,0.8563488385776752,-0.07455070439306441,0.418008412727079,0.3620059044172609,24.0,26.0,46.0,23.0,28.0
frc428,24,41.86263748915211,15.949618359042773,-13.963021443218592,-19.935350933755096,-0.08317816860660604,15,1446.864607966793,2623.973864782979,96.45764053111954,174.93159098553193,-78.47395045441243,-0.8135586773874576,-0.5,68.47749098615742,0.7071067811865476,0.7071067811865476,-0.05881584706840914,0.5081594237820358,0.3593229744801261,29.0,53.0,41.0,23.0,29.0
frc430,24,22.550875922356944,-0.8269707352112268,-16.47406736534432,-19.062639058540043,-0.07321476665215312,14,1745.727432334442,2937.6304610446205,124.69481659531729,209.8307472174729,-85.13593062215566,-0.6827543673964775,-0.5,82.88405640883214,0.7071067811865476,0.6831300510639732,-0.05001520728172224,0.47746039074823293,0.33761548004605424,39.0,49.0,30.0,23.0,30.0
frc4638,12,45.19100993792194,9.003059275247235,-15.907905783647905,-11.63271565175455,-0.08121968005712206,5,453.50957947826345,941.8859827218747,90.70191589565269,188.37719654437495,-97.67528064872228,-1.0768822211108753,-0.5,56.35134995455837,0.5,0.408248290463863,-0.03315779553534199,0.6700042629050252,0.3350021314525126,37.0,18.0,39.0,23.0,31.0
frc25,36,43.90301181900407,25.326120384646305,-19.097436480891194,-22.469624945887386,-0.05350818812269027,23,2628.326271786706,4369.373894794944,114.27505529507417,189.9727780345628,-75.69772273948858,-0.6624168550522813,-0.5,84.451687905388,0.8660254037844386,0.8755950357709131,-0.04685150389332374,0.3859765565587072,0.33426550324508164,55.0,65.0,15.0,23.0,32.0
frc9015,36,28.671641829839984,10.62077826887641,-19.941553290524713,-15.87735278605644,-0.050584828763068294,23,2497.9193023737184,4016.3324572063784,108.60518705972689,174.6231503133208,-66.01796325359392,-0.6078711803819062,-0.5,79.47681927583638,0.8660254037844386,0.8755950357709131,-0.0442918249502643,0.3717283006373902,0.321926151657599,63.0,37.0,13.0,23.0,33.0
frc5401,36,53.77852202209927,39.08789141933288,-18.20049256806389,-14.798893671463308,-0.058661991919806686,26,3223.7080757138447,4768.537663037334,123.98877214284018,183.40529473220516,-59.41652258936497,-0.47920889579352144,-0.5,97.2834098567389,0.8660254037844386,0.9309493362512627,-0.054611342440920974,0.3514643479735951,0.3043770538696671,48.0,31.0,22.0,23.0,34.0
frc56,36,47.7632578143808,21.987963914308757,-17.459756467902313,-17.17158206891077,-0.07018769375268524,21,2346.6231007244355,3821.066767004357,111.74395717735408,181.95556033354083,-70.21160315618674,-0.6283257272225523,-0.5,76.72523036858188,0.8660254037844386,0.8366600265340756,-0.058723237717487206,0.3455872554161445,0.29928734241452243,46.0,43.0,28.0,23.0,35.0
